Name,Cost,Type,Ability
Poison Spit,4,Keep,When you deal damage to monsters give them a poison counter. Monsters take 1 damage for each poison counter they have at the end of their turn. You can get rid of a poison counter with a [Heart] (that [Heart] doesn't heal a damage also).
Psychic Probe,3,Keep,You can reroll a die of each other monster once each turn. If the reroll is [Heart] discard this card.
Rapid Healing,3,Keep,Spend 2[Energy] at any time to heal 1 damage.
Regeneration,4,Keep,"When you heal, heal 1 extra damage."
Rooting for the Underdog,3,Keep,At the end of a turn when you have the fewest [Star] gain 1 [Star].
Shrink Ray,6,Keep,When you deal damage to monsters give them a shrink counter. A monster rolls one less die for each shrink counter. You can get rid of a shrink counter with a [Heart] (that [Heart] doesn't heal a damage also).
Skyscraper,6,Discard,"""+ 4[Star]"""
Smoke Cloud,4,Keep,This card starts with 3 charges. Spend a charge for an extra reroll. Discard this card when all charges are spent.
Solar Powered,2,Keep,At the end of your turn gain 1[Energy] if you have no [Energy].
Spiked Tail,5,Keep,When you attack deal 1 extra damage.
Stretchy,3,Keep,You can spend 2[Energy] to change one of your dice to any result.
Tanks,4,Discard,"""+ 4[Star] and take 3 damage."""
Telepath,4,Keep,Spend 1[Energy] to get 1 extra reroll.
Urbavore,4,Keep,Gain 1 extra [Star] when beginning the turn in Tokyo. Deal 1 extra damage when dealing any damage from Tokyo.
Vast Storm,6,Discard,"""+ 2[Star]. All other monsters lose 1[Energy] for every 2[Energy] they have."""
We're Only Making It Stronger,3,Keep,When you lose 2[Heart] or more gain 1[Energy].
Wings,6,Keep,Spend 2[Energy] to negate damage to you for a turn.

Amusement Park,6,Discard,"""+ 4[Star]"""
Army,2,Discard,(+ 1[Star] and suffer one damage) for each card you have.
Cannibalistic,5,Keep,When you do damage gain 1[Heart].
Intimidating Roar,3,Keep,The monsters in Tokyo must yield if you damage them.
Monster Sidekick,4,Keep,"If someone kills you, Go back to 10[Heart] and lose all your [Star]. If either of you or your killer win, or all other players are eliminated then you both win. If your killer is eliminated then you are also. If you are eliminated a second time this card has no effect."
Reflective Hide,6,Keep,If you suffer damage the monster that inflicted the damage suffers 1 as well.
Sleep Walker,3,Keep,Spend 3[Energy] to gain 1[Star].
Super Jump,4,Keep,Once each turn you may spend 1[Energy] to negate 1 damage you are receiving.
Throw a Tanker,4,Keep,On a turn you deal 3 or more damage gain 2[Star].
Thunder Stomp,3,Keep,"If you score 4[Star] in a turn, all players roll one less die until your next turn."
Unstable DNA,3,Keep,If you yield Tokyo you can take any card the recipient has and give him this card.
